## This is a tabular format curated from sambamba/samtools flagstat output.
## Author: Sichong Peng (scpeng@ucdavis.edu)
File,Total(QC passed),Total(QC failed),Duplicates(QC passed),Mapped(QC passed),Mapped%(QC passed),Paired(QC passed),R1(QC passed),R2(QC passed),Properly paired(QC passed),Properly paired%(QC passed),Paired mapped(QC passed),Mate only(QC passed),Mate only%(QC passed),Mate mapped to diff chr(QC passed), Mate mapped to diff chr(mapQ>5)(QC passed),Duplicates(QC failed),Mapped(QC failed),Mapped%(QC failed),Paired(QC failed),R1(QC failed),R2(QC failed),Properly paired(QC failed),Properly paired%(QC failed),Paired mapped(QC failed),Mate only(QC failed),Mate only%(QC failed),Mate mapped to diff chr(QC failed), Mate mapped to diff chr(mapQ>5)(QC failed)
Liver_GS_NucleiAM_40M_dedup,23679216,0,0,23679216,100.00%,23563062,11884045,11795171,23478956,99.15%,23563062,116154,0.49%,24400,9700,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_40M,40088218,0,6997805,39328781,98.11%,39136544,20044109,20044109,39069512,97.46%,39136544,192237,0.48%,30848,13073,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_60M,60268090,0,2805421,58827521,97.61%,58209804,30134045,30134045,57648838,95.65%,58209804,617717,1.02%,285080,52102,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_40M_filtered,34837405,0,4173876,34837405,100.00%,34617264,17525983,17311422,34475764,98.96%,34617264,220141,0.63%,79658,50067,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_40M_filtered,29278230,0,27482524,29278230,100.00%,29216251,14659387,14618843,29048066,99.21%,29216251,61979,0.21%,73037,34539,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiAM_filtered,76771542,0,13332071,76771542,100.00%,76098067,38675806,38095736,76024726,99.03%,76098067,673475,0.88%,53475,24145,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_NucleiFirst,156892495,0,126148727,156245759,99.59%,155839948,78423860,78423860,154851880,98.73%,155839948,361036,0.23%,392950,180457,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_chrM,9379428,0,8129996,9361437,99.81% ,9343446,4690467,4688961,9331358,99.49% ,9343446,17991,0.19% ,3612,2045,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_Nuclei_40M,39409478,0,24720301,39200301,99.47%,39115870,19700412,19700412,38712630,98.25%,39115870,75777,0.19%,112432,44398,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_chrM,157581481,0,152982633,157421762,99.90% ,157259127,78814122,78764443,156779928,99.49% ,157259127,159719,0.10% ,111937,81623,0,0, N/A,0,0,0,0, N/A,0,0, N/A,0,0,
Liver_GS_NucleiAM_60M_filtered,41065031,0,6119164,41065031,100.00%,40787960,20639537,20425494,40661416,99.02%,40787960,277071,0.67%,37310,15457,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Nuclei_40M,42935804,0,39675175,42631653,99.29%,42544574,21463036,21463036,42312078,98.57%,42544574,77347,0.18%,123958,51856,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_TissueAM_filtered,59838078,0,6757324,59838078,100.00%,59540893,30038631,29799447,59437664,99.33%,59540893,297185,0.50%,41797,19244,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_60M_dedup,45999367,0,0,45999367,100.00%,45772765,23110800,22888567,45565200,99.06%,45772765,226602,0.49%,116885,73353,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_CP_NucleiAM_50M_dedup,38534203,0,0,38534203,100.00%,38180350,19427627,19106576,37913894,98.39%,38180350,353853,0.92%,50396,20211,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_50M_dedup,16113304,0,0,16113304,100.00%,16080651,8067398,8045906,15711214,97.50%,16080651,32653,0.20%,71767,30633,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_50M_filtered,41205294,0,10953070,41205294,100.00%,41022505,20687963,20517331,40832668,99.10%,41022505,182789,0.44%,85835,51449,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_TissueAM_40M_filtered,31727040,0,2902732,31727040,100.00%,31639455,15869608,15857432,31541526,99.42%,31639455,87585,0.28%,22795,9560,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_CP_Tissue_50M_filtered,43316663,0,16526674,43316663,100.00%,43180719,21723413,21593250,42807358,98.82%,43180719,135944,0.31%,69345,41683,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei_filtered,214714925,0,90804736,214714925,100.00%,214152097,107569127,107145798,211090776,98.31%,214152097,562828,0.26%,587781,259769,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_NucleiAM_50M_filtered,39090726,0,1350764,39090726,100.00%,38603280,19770214,19320512,38367584,98.15%,38603280,487446,1.25%,51646,20513,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Tissue_40M_dedup,24208971,0,0,24208971,100.00%,24123389,12144476,12064495,23979492,99.05%,24123389,85582,0.35%,64919,38899,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Lamina_GS_Nuclei_dedup,127769475,0,0,127769475,100.00%,127138280,64194150,63575325,126562396,99.06%,127138280,631195,0.49%,324754,204379,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
Liver_GS_Nuclei,394039190,0,247227396,391952019,99.47%,391108308,196976526,196976526,387086358,98.26%,391108308,757573,0.19%,1123256,441242,0,0,N/A,0,0,0,0,N/A,0,0,N/A,0,0,
